"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"821.7527";"74.07";"0.27";"3776.4337";"21.76";"3323.73";"314.4";"1109.4142";"11409.53";"19431.44"
"C";"Austria";"49.8944";"52.26";"0.28";"90.1387";"55.35";"262.75";"0";"95.4801";"841.57";"1059.53"
"C";"Belgium";"7.6625";"85.13";"0.6";"169.6062";"4.52";"53.87";"0";"9.0013";"88.14";"169.5"
"C";"Bulgaria";"4.0157";"69.08";"0.45";"33.02";"12.16";"25.9";"0";"5.8135";"34.1";"36.2"
"C";"Croatia";"4.6606";"89.34";"0.49";"28.2602";"16.49";"25.53";"0";"5.2164";"42.28";"56.37"
"E";"Czech Republic";"30.1579";"83.79";"0.46";"90.6943";"33.25";"167.27";"0";"35.9915";"397.76";"519.07"
"C";"Denmark";"7.2901";"80.29";"0.58";"23.1592";"31.48";"57.11";"4.6";"9.08";"90.72";"180.9"
"C";"France";"117.6443";"91.58";"0.21";"430.4139";"27.33";"386.74";"110.7";"128.4642";"1115.02";"2347.66"
"E";"Germany";"162.3205";"67.06";"0.44";"905.3031";"17.93";"1071.58";"4.9";"242.0536";"3899.64";"6745.96"
"C";"Hungary";"56.2289";"83.05";"0.06";"107.8658";"52.13";"40.97";"0";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"168.6195";"85.28";"0.1";"725.0259";"23.26";"192.12";"0";"197.7337";"1695.75";"2900.2"
"C";"Latvia";"17.4206";"79.91";"0.1";"11.5885";"150.33";"21.71";"0";"21.8";"126";"146"
"C";"Netherlands";"83.3818";"57.25";"0.46";"350.6667";"23.78";"713.88";"44.7";"145.6387";"1412.23";"2747.96"
"C";"Poland";"34.586";"96.64";"0.07";"232.4541";"14.88";"23.33";"0";"35.7879";"345.03";"595.86"
"C";"Portugal";"1.7997";"50.41";"-1.07";"58.6354";"3.07";"0";"38.2";"3.57";"24";"71.4"
"C";"Romania";"23.7589";"72.02";"0.25";"114.3571";"20.78";"92.62";"10.9";"32.9906";"266.47";"315.1"
"C";"Slovakia";"27.3372";"70.55";"0.16";"53.2106";"51.38";"160.51";"100.4";"38.7476";"410.96";"491.56"
"C";"Spain";"24.9677";"72.9";"0.08";"338.9865";"7.37";"27.85";"0";"34.248";"125.67";"200.48"
"C";"Sweden";"0.0064";"6.72";"0";"13.0475";"0.05";"0";"0";"0.0946";"6.04";"7.99"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"9.6513";"100";"1.03";"769.4755";"1.25";"99.61";"0";"9.629";"496";"487.33"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"N";"Ukraine";"0";"0";"0";"261.0519";"0";"0";"0";"0";"0";"0"
"C";"United Kingdom (Post-Brexit)";"9.6513";"100";"1.03";"769.4755";"1.25";"99.61";"0";"9.629";"496";"487.33"
