"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"1127.7683";"98.94";"-0.09";"3760.87";"29.99";"502.35";"1447.8";"1139.8289";"11838.98";"20253.27"
"C";"Austria";"96.9506";"99.29";"0.01";"91";"106.54";"27.55";"18.6";"97.6438";"852.33";"1070.84"
"C";"Belgium";"8.9196";"97.7";"-0.23";"167.36";"5.33";"0";"21.2";"9.13";"88.14";"169.66"
"C";"Bulgaria";"5.6439";"95.83";"-0.38";"31.09";"18.15";"0";"22.2";"5.8898";"41.23";"40.91"
"C";"Croatia";"4.3932";"92.05";"-0.41";"28.02";"15.68";"0.65";"26.1";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"44.4685";"99.1";"-0.06";"84.83";"52.42";"13.21";"41.7";"44.8731";"511.85";"695.87"
"C";"Denmark";"9.7207";"96.01";"-0.21";"19.53";"49.77";"6.9";"28";"10.125";"90.72";"180"
"C";"France";"133.6531";"99.48";"0.14";"441.28";"30.29";"228.12";"37.4";"134.3507";"1130.85";"2487.55"
"E";"Germany";"255.0875";"100.08";"-0.01";"888.83";"28.7";"98.26";"118";"254.8768";"4264.91";"7045.95"
"C";"Hungary";"68.5273";"97.8";"-0.05";"105.56";"64.92";"0";"0.3";"70.0691";"455.22";"798.9"
"N";"Ireland";"0";"0";"0";"59.8";"0";"0";"0";"0";"0";"0"
"E";"Italy";"192.6691";"97.82";"-0.21";"750.6";"25.67";"23.97";"428.9";"196.9627";"1699.23";"2916.1"
"C";"Latvia";"21.3168";"94.32";"-0.37";"9.32";"228.72";"0";"84";"22.6";"51";"272"
"E";"Netherlands";"140.5576";"98.62";"-0.24";"312.19";"45.02";"28.33";"364.4";"142.5291";"1439.83";"2848.11"
"C";"Poland";"37.2268";"99.24";"-0.04";"206.2";"18.05";"0";"15.9";"37.5109";"345.03";"595.86"
"C";"Portugal";"3.8255";"107.16";"0";"64.48";"5.93";"0";"0";"3.57";"0";"0"
"C";"Romania";"34.4593";"101.76";"-0.23";"112.35";"30.67";"0";"78.2";"33.8636";"240.75";"338.44"
"C";"Slovakia";"36.0188";"97.69";"-0.24";"59.16";"60.88";"75.35";"162.9";"36.87";"410.96";"491.56"
"E";"Spain";"34.2331";"100.42";"0";"380.61";"8.99";"0";"0.3";"34.0904";"166.57";"241.37"
"C";"Sweden";"0.0968";"95.34";"0";"8.46";"1.14";"0";"0";"0.1015";"6.49";"8.58"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"132.9309";"40.18";"-0.07";"991.1155";"13.41";"281.94";"490.3";"330.8527";"2688.6";"2298.72"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"123.5858";"38.5";"-0.16";"221.64";"55.76";"0";"490.3";"320.9892";"2174.91";"1796.94"
"C";"United Kingdom (Post-Brexit)";"9.3451";"94.74";"2.85";"769.4755";"1.21";"281.94";"0";"9.8636";"513.68";"501.78"
