"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"EU";"E";"EU";"854.7604";"75.01";"-0.48";"3760.87";"22.73";"448.05";"6181.8";"1139.4835";"11654.38";"20025.98";"0";"0";"100"
"country";"E";"Austria";"82.6364";"84.63";"-0.46";"91";"90.81";"0";"451.2";"97.6438";"852.33";"1070.84";"0";"0";"100"
"company";"C";"astora";"16.0237";"85.13";"-0.3";"0";"0";"0";"56.3";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"facility";"C";"UGS Haidach (astora)";"16.0237";"85.13";"-0.3";"0";"0";"0";"56.3";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"company";"N";"GSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Haidach (GSA) // historical data prior to 6 Oct 2022";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"OMV Gas Storage";"23.0933";"87.77";"-0.29";"0";"0";"0";"76";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"facility";"C";"VGS OMV Gas Storage Pool (Tallesbrunn & Schönkirchen / Reyersdorf)";"23.0933";"87.77";"-0.29";"0";"0";"0";"76";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"company";"C";"RAG Energy Storage";"28.5966";"82.45";"-0.5";"0";"0";"0";"173.8";"34.684";"328.87";"367.27";"0";"0";"0"
"facility";"C";"RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, 7Fields-RAG, Haidach)";"28.5966";"82.45";"-0.5";"0";"0";"0";"173.8";"34.684";"328.87";"367.27";"0";"0";"0"
"company";"E";"Uniper Energy Storage (AT)";"14.9228";"83.72";"-0.81";"0";"0";"0";"145.2";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"facility";"E";"UGS 7 Fields (Uniper Energy Storage) - AT";"14.9228";"83.72";"-0.81";"0";"0";"0";"145.2";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"country";"C";"Belgium";"5.6281";"63.74";"-1.31";"167.36";"3.36";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"100"
"company";"C";"Fluxys";"5.6281";"63.74";"-1.31";"0";"0";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"0"
"facility";"C";"UGS Loenhout";"5.6281";"63.74";"-1.31";"0";"0";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"0"
"country";"C";"Bulgaria";"4.384";"74.43";"-0.42";"31.09";"14.1";"0";"25.1";"5.8898";"41.23";"40.91";"0";"0";"100"
"company";"C";"Bulgartransgaz";"4.384";"74.43";"-0.42";"0";"0";"0";"25.1";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"facility";"C";"UGS Chiren";"4.384";"74.43";"-0.42";"0";"0";"0";"25.1";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"country";"C";"Croatia";"2.8918";"60.59";"-0.89";"28.02";"10.32";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"100"
"company";"C";"PSP";"2.8918";"60.59";"-0.89";"0";"0";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"0"
"facility";"C";"UGS Okoli";"2.8918";"60.59";"-0.89";"0";"0";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"0"
"country";"C";"Czech Republic";"35.1561";"78.35";"-0.55";"84.83";"41.44";"0.12";"247.6";"44.8731";"511.85";"695.87";"0";"0";"100"
"company";"C";"Gas Storage CZ";"22.6463";"77.06";"-0.68";"0";"0";"0";"200.9";"29.3896";"323.51";"424.09";"29.1896";"0.2";"0"
