# Source: https://alsi.gie.eu , retrieved on 2022-09-20
Name;LNG Inventory (1000 m3);Send-out (GWh/d);DTMI (1000 m3);DTRS (GWh/d)
EU;5317.24;3151.2;7658.68;5904.1
Belgium;273.39;276.5;590.08;541.0
Croatia;110.30;67.7;140.00;85.5
France;961.59;751.9;1353.00;1252.7
Greece;168.25;97.6;225.00;269.9
Italy;166.46;388.3;462.16;560.2
Lithuania;107.88;106.3;166.73;122.4
Netherlands;430.01;684.9;695.21;742.0
Poland;82.54;105.0;320.00;220.0
Portugal;316.15;93.8;390.00;200.0
Spain;2700.67;579.2;3316.50;1910.4
